slug,name,brandSlug,price,thickness,length,width,weight,material,features,imageUrl,shopifyId
yogamatters-yogamatters-eco-travel-yoga-mat,"Yogamatters Eco Travel Yoga Mat",yogamatters,,1,,,0.75,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Extra Wide; Alignment Marks; Antimicrobial",,4515268067395
yogamatters-yogamatters-organic-cotton-yoga-mat-1,"Yogamatters Organic Cotton Yoga Mat",yogamatters,,,,,,Cotton,"Eco-Friendly; Non-Slip; Alignment Marks",,6820779425967
yogamatters-manduka-prolite-yoga-mat,"Manduka PROlite Yoga Mat",yogamatters,,7,,,,,"Eco-Friendly; Extra Thick; Lightweight; Alignment Marks; Closed-Cell",,4515213344835
yogamatters-manduka-prolite-mat-long,"Manduka PROlite Yoga Mat - Long",yogamatters,,7,,,,,"Eco-Friendly; Extra Thick; Lightweight; Alignment Marks; Closed-Cell",,4515225305155
yogamatters-manduka-pro-yoga-mat,"Manduka PRO Yoga Mat",yogamatters,,6,,,,,"Eco-Friendly; Extra Thick; Alignment Marks; Closed-Cell; Premium",,4515212787779
yogamatters-manduka-pro-mat-long,"Manduka PRO Yoga Mat - Long",yogamatters,,6,,,,,"Eco-Friendly; Extra Thick; Extra Long; Alignment Marks; Closed-Cell; Premium",,4515224911939
yogamatters-manduka-pro-travel-mat-2-0,"Manduka Pro Travel Mat 2mm",yogamatters,,2,180,61,1.1,,"Non-Slip; Lightweight; Antimicrobial; Closed-Cell",,15001853919617
yogamatters-manduka-eko-lite-3-0-4mm-yoga-mat,"Manduka eKO Lite 3.0 4mm Yoga Mat",yogamatters,,4,,,,Natural Rubber,"Eco-Friendly; Extra Thick; Non-Slip; Closed-Cell",,15001854116225
yogamatters-manduka-eko-superlite-travel-mat,"Manduka eKO Superlite Travel Mat",yogamatters,,5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Closed-Cell",,7254811082927
yogamatters-ecoyoga-jute-mat,"ecoYoga Jute Mat",yogamatters,,4,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,4515211509827
yogamatters-jade-yoga-mat-harmony,"Jade Yoga Harmony Mat - 173cm",yogamatters,,5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,4515211771971
yogamatters-jade-yoga-harmony-mat-188cm,"Jade Yoga Harmony Mat - 188cm",yogamatters,,5,188,61,,Natural Rubber,"Eco-Friendly; Non-Slip; Extra Wide",,7565034651823
yogamatters-jade-yoga-travel-mat,"Jade Yoga Travel Mat",yogamatters,,3,,,1.5,Natural Rubber,"Eco-Friendly; Lightweight; Alignment Marks",,4515214884931
yogamatters-jade-yoga-voyager-mat,"Jade Yoga Voyager Mat",yogamatters,,5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Alignment Marks",,4515215179843
yogamatters-yoga-design-lab-studio-mat-3-5mm-zenith,"Yoga Design Lab Studio Mat 3.5mm - Zenith",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Premium",,15069151953281
yogamatters-yoga-design-lab-studio-mat-3-5mm-aegean-green,"Yoga Design Lab Studio Mat 3.5mm - Aegean Green",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Premium",,4553488597059
yogamatters-yoga-design-lab-infinity-mat-5mm-diamond-align-coral,"Yoga Design Lab Infinity Mat 5mm - Diamond Align Coral",yogamatters,,5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks",,15069151723905
yogamatters-yoga-design-lab-infinity-mat-charcoal,"Yoga Design Lab Infinity Mat 5mm - Mandala Charcoal",yogamatters,,5,,,,Natural Rubber,"Non-Slip; Alignment Marks",,4515283271747
yogamatters-yoga-design-studio-mat-3-5mm-rose,"Yoga Design Lab Studio Mat 3.5mm- Rose",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Premium",,8093855285423
yogamatters-yoga-design-lab-3-5mm-studio-mat-mandala-black,"Yoga Design Lab Studio Mat 3.5mm - Mandala Black",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks; Premium",,4515263217731
yogamatters-yoga-design-lab-3-5mm-studio-mat-mandala-turquoise,"Yoga Design Lab Studio Mat 3.5mm - Mandala Turquoise",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Alignment Marks; Premium",,4515263316035
yogamatters-yoga-design-lab-cork-mat-3-5mm-nature-balance,"Yoga Design Lab Cork Mat 3.5mm - Natural Balance",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight; Antimicrobial; Premium",,15069151461761
yogamatters-yoga-design-lab-studio-mat-3-5mm-breathe,"Yoga Design Lab Studio Mat 3.5mm - Breathe",yogamatters,,3.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Premium",,4553488531523
yogamatters-yoga-design-lab-travel-mat-1-5mm-zenith,"Yoga Design Lab Travel Mat 1.5mm- Zenith",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,15069151035777
yogamatters-yoga-design-lab-travel-mat-1-5mm-aegean-green,"Yoga Design Lab Travel Mat 1.5mm- Aegean Green",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,15069151232385
yogamatters-yoga-design-lab-travel-mat-1-5mm-crystal,"Yoga Design Lab Travel Mat 1.5mm- Crystal",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,8093855187119
yogamatters-yoga-design-lab-travel-mat-1-5mm-boho-glow,"Yoga Design Lab Travel Mat 1.5mm- Boho Glow",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,8093855219887
yogamatters-yoga-design-lab-travel-mat-1-5mm-celestial,"Yoga Design Lab Travel Mat 1.5mm - Celestial",yogamatters,,1.5,,,,Natural Rubber,"Eco-Friendly; Non-Slip; Lightweight",,7027376029871
